# concept_id	lang	definition	source
# - lang: en|zh
# - definition: full-text explanation of the term
# - source: provenance (e.g. ITER-glossary, IAEA-safety-glossary, GB/T-4960.9)
# ---- Imported from ITER-glossary (2026-04-14) ----
diagnostic-reference-level	en	See level.	IAEA-safety-glossary
diffusion	en	The movement of radionuclides relative to the medium in which they are distributed, under the influence of a concentration gradient. Usually used for the movement of airborne radionuclides (e.g. from discharges or resulting from an accident) relative to the air, and for movement of dissolved radionuclides (e.g. in groundwater or surface water, from migration following waste disposal, or in surface water from discharges) relative to the water. See also advection (where the radionuclide does not move relative to the carrying medium, but moves with it) and dispersion.	IAEA-safety-glossary
direct-cause	en	See cause.	IAEA-safety-glossary
direct-disposal	en	See disposal (1).	IAEA-safety-glossary
directional-dose-equivalent	en	See dose equivalent quantities (operational).	IAEA-safety-glossary
discharge	en	1. Planned and controlled release of (usually gaseous or liquid) radioactive substances to the environment. Strictly, the act or process of releasing the radioactive substances, but also used to describe the radioactive substances released. authorized discharge. Discharge in accordance with an authorization. radioactive discharges. Radioactive substances arising from sources within facilities and activities which are discharged as gases, aerosols, liquids or solids to the environment, generally with the purpose of dilution and dispersion. 2. [A planned and controlled release to the environment, as a legitimate practice, within limits authorized by the regulatory body, of liquid or gaseous radioactive material that originates from regulated nuclear facilities during normal operation.] (See Ref. [5].)	IAEA-safety-glossary
dismantling	en	See decommissioning (1).	IAEA-safety-glossary
dispersal	en	The spreading of radioactive material in the environment. In normal language synonymous with dispersion, but tends to be used in a general sense, not implying the involvement of any particular processes or phenomena, for example the uncontrolled spreading of material that has escaped from confinement, or as a result of damage to (or the destruction of) a sealed source, special form radioactive material or low dispersible radioactive material.	IAEA-safety-glossary
dispersion	en	The spreading of radionuclides in air (aerodynamic dispersion) or water (hydrodynamic dispersion) resulting mainly from physical processes affecting the velocity of different molecules in the medium. Often used in a more general sense combining all processes (including molecular diffusion) that result in the spreading of a plume. The terms atmospheric dispersion and hydrodynamic dispersion are used in this more general sense for plumes in air and water, respectively. In usual language synonymous with dispersal, but dispersion is mostly used more specifically as defined above, whereas dispersal is typically (though not universally) used as a more general expression. See also advection and diffusion.	IAEA-safety-glossary
disposal	en	1. Emplacement of waste in an appropriate facility without the intention of retrieval. In some States, the term disposal is used to include discharges of effluents to the environment. In some States, the term disposal is used administratively in such a way as to include, for example, incineration of waste or the transfer of waste between operators. ! In IAEA publications, disposal should be used only in accordance with the more restrictive definition given above. ! In many cases, the only element of this definition that is important is the distinction between disposal (with no intent to retrieve) and storage (with intent to retrieve). In such cases, a definition is not necessary; the distinction can be made in the form of a footnote at the first use of the term disposal or storage (e.g. “The use of the term ‘disposal’ indicates that there is no intention to retrieve the waste. If retrieval of the waste at any time in the future is intended, the term ‘storage’ is used.”). ! The term disposal implies that retrieval is not intended and would require deliberate action to regain access to the waste; it does not mean that retrieval is not possible. For storage in a combined storage and disposal facility, for which a decision may be made at the time of its closure whether to remove the waste stored during the operation of the storage facility or to dispose of it by encasing it in concrete, the question of intention of retrieval may be left open until the time of closure of the facility. Contrasted with storage. direct disposal. Disposal of spent fuel as waste. geological disposal. Disposal in a geological disposal facility. See also repository. The term ‘intermediate depth disposal’ is sometimes used for the disposal of low level waste and intermediate level waste, for example in boreholes (i.e. between near surface disposal and geological disposal). near surface disposal. Disposal, under an engineered cover, with or without additional engineered barriers, in a near surface disposal facility. sub-seabed disposal. Disposal in a geological disposal facility in the rock underlying the seabed. 2. [The emplacement of spent fuel or radioactive waste in an appropriate facility without the intention of retrieval.] (See Ref. [5].) 3. The act or process of getting rid of waste, without the intention of retrieval. The terms deep sea disposal and seabed disposal do not strictly satisfy definitions (1) or (2), but are consistent with the everyday meaning of disposal and are used as such. deep sea disposal. Disposal of waste packaged in containers on the deep ocean floor. ! The commonly used, but informal, term ‘sea dumping’ should not be used in IAEA publications. As practised until 1982 in accordance with the requirements of the London Convention 1972 [16]. seabed disposal. Emplacement of waste packaged in suitable containers at some depth into the sedimentary layers of the deep ocean floor. This may be achieved by direct emplacement, or by placing the waste in specially designed ‘penetrators’ which, when dropped into the sea, embed themselves in the sediment.	IAEA-safety-glossary
disposal-facility	en	An engineered facility where waste is emplaced for disposal. Synonymous with repository. disposal system. The system of properties of the site for a disposal facility, design of the disposal facility, physical structures and items, procedures for control, characteristics of waste and other elements that contribute in different ways and over different timescales to the fulfilment of safety functions for disposal. geological disposal facility. A facility for radioactive waste disposal located underground (usually several hundred metres or more below the surface) in a stable geological formation to provide long term isolation of radionuclides from the biosphere. near surface disposal facility. A facility for radioactive waste disposal located at or within a few tens of metres of the Earth’s surface. The practice of disposal of waste in a near surface disposal facility with an engineered cover is also referred to as ‘shallow land burial’ of waste.	IAEA-safety-glossary
disposal-system	en	See disposal facility.	IAEA-safety-glossary
disposition	en	Consigning of, or arrangements for the consigning of, radioactive waste for some specified (interim or final) destination, for example for the purpose of processing, disposal or storage.	IAEA-safety-glossary
disused-sealed-source	en	See source (2): disused source.	IAEA-safety-glossary
disused-source	en	See source (2).	IAEA-safety-glossary
diversity	en	The presence of two or more independent (redundant) systems or components to perform an identified function, where the different systems or components have different attributes so as to reduce the possibility of common cause failure, including common mode failure. Examples of such attributes are: different operating conditions, different working principles or different design teams (which provide functional diversity), and different sizes of equipment, different manufacturers, and types of equipment (which provide diversity of equipment) that use different physical methods (which provide physical diversity). functional diversity. Application of diversity at the level of functions in applications in process engineering (e.g. for the actuation of a trip on both a pressure limit and a temperature limit).	IAEA-safety-glossary
dose	en	1. A measure of the energy deposited by radiation in a target. For definitions of the most important such measures, see dose quantities and dose concepts. 2. Absorbed dose, committed equivalent dose, committed effective dose, equivalent dose, effective dose or organ dose, as indicated by the context. committed dose. Committed equivalent dose or committed effective dose.	IAEA-safety-glossary
dose-and-dose-rate-effectiveness-factor	en	The ratio between the risk or radiation detriment per unit effective dose for high doses and/or dose rates and that for low doses and dose rates. Used in the estimation of risk coefficients for low doses and dose rates from observations and epidemiological findings at high doses and dose rates. Supersedes the dose rate effectiveness factor (DREF).	IAEA-safety-glossary
dose-assessment	en	See assessment (1).	IAEA-safety-glossary
dose-coefficient	en	 Used by the International Commission on Radiological Protection and others as a synonym for dose per unit intake, but sometimes also used to describe other coefficients linking quantities or concentrations of activity to doses or dose rates, such as the external dose rate at a specified distance above a surface with a deposit of a specified activity per unit area of a specified radionuclide. ! To avoid confusion, the term dose coefficient should be used with care. [dose commitment] See dose concepts.	IAEA-safety-glossary
dose-concepts	en	annual dose. The dose from external exposure in a year plus the committed dose from intakes of radionuclides in that year. The individual dose, unless otherwise stated. ! This is not, in general, the same as the dose actually delivered during the year in question, which would include doses from radionuclides remaining in the body from intakes in previous years, and would exclude doses delivered in future years from intakes of radionuclides during the year in question. averted dose. The dose prevented by protective actions. collective dose. The total radiation dose incurred by a population. This is the sum of all of the individual doses to members of the population. If the doses continue for longer than a year, then the annual individual doses must also be integrated over time. Unless otherwise specified, the time over which the dose is integrated is infinite; if a finite upper limit is applied to the time integration, the collective dose is described as ‘truncated’ at that time. Although the upper limit for the integral for collective dose could in principle be infinite, in most assessments of collective dose the component part associated with individual doses or dose rates that are higher than the thresholds for the induction of deterministic effects would be considered separately. Unless otherwise specified, the relevant dose is normally the effective dose (collective effective dose has a formal definition). Unit: person-sievert (person Sv). This is, strictly, just a sievert, but the unit person- sievert is used to distinguish the collective dose from the individual dose which a dosimeter would measure (just as, for example, ‘person-hours’ are used to measure the total effort devoted to a task, as opposed to the elapsed time that would be shown by a clock). Contrasting term: individual dose. committed dose. The lifetime dose expected to result from an intake. This term partially supersedes dose commitment. See dose quantities: committed equivalent dose and committed effective dose. [dose commitment]. The total dose that would eventually result from an event (e.g. a release of radioactive material), a deliberate action or a finite portion of a practice. More specific and precise terms such as committed dose or collective dose should be used as appropriate. individual dose. The dose incurred by an individual. Contrasting term: collective dose. lifetime dose. The total dose received by an individual during his or her lifetime. In practice, often approximated as the sum of the annual doses incurred. Since annual doses include committed doses, some parts of some of the annual doses may not actually be delivered within the lifetime of the individual, and therefore this may overestimate the true lifetime dose. For prospective assessments of lifetime dose, a lifetime is normally interpreted as 70 years. projected dose. The dose that would be expected to be received if planned protective actions were not taken. residual dose. The dose expected to be incurred after protective actions have been terminated (or after a decision has been taken not to take protective actions). Residual dose applies for an emergency exposure situation or for an existing exposure situation.	IAEA-safety-glossary
dose-constraint	en	A prospective and source related value of individual dose that is used in planned exposure situations as a parameter for the optimization of protection and safety for the source, and that serves as a boundary in defining the range of options in optimization. For occupational exposure, the dose constraint is a constraint on individual dose to workers established and used by registrants and licensees to set the range of options in optimizing protection and safety for the source. For public exposure, the dose constraint is a source related value established or approved by the government or the regulatory body, with account taken of the doses from planned operations of all sources under control. The dose constraint for each particular source is intended, among other things, to ensure that the sum of doses from planned operations for all sources under control remains within the dose limit. For medical exposure, the dose constraint is a source related value used in optimizing the protection of carers and comforters of patients undergoing radiological procedures, and the protection of volunteers subject to exposure as part of a programme of biomedical research.	IAEA-safety-glossary
dose-conversion-convention	en	The assumed relationship between potential alpha energy exposure and effective dose. Used to estimate doses from measured or estimated exposure due to radon. See also exposure (4). Unit: mSv per J·h/m3.	IAEA-safety-glossary
dose-equivalent	en	The product of the absorbed dose at a point in the tissue or organ and the appropriate quality factor for the type of radiation giving rise to the dose. A measure of the dose to a tissue or organ designed to reflect the amount of harm caused. by equivalent dose. Dose equivalent is also a term used by the International Commission on Radiation Units and Measurements in defining the following operational quantities: ambient dose equivalent, directional dose equivalent and personal dose equivalent (see dose equivalent quantities). [effective dose equivalent, HE]. A measure of dose designed to reflect the risk associated with the dose, calculated as the weighted sum of the dose equivalents in the different tissues of the body.	IAEA-safety-glossary
dose-equivalent-quantities	en	ambient dose equivalent, H*(d). The dose equivalent that would be produced by the corresponding aligned and expanded field in the ICRU sphere at a depth d on the radius vector opposing the direction of the aligned field. Parameter defined at a point in a radiation field. Used as a directly measurable proxy (i.e. substitute) for effective dose for use in monitoring of external exposure. The recommended value of d for strongly penetrating radiation is 10 mm. directional dose equivalent, H′(d,Ω). The dose equivalent that would be produced by the corresponding expanded field in the ICRU sphere at a depth d on a radius in a specified direction Ω. Parameter defined at a point in a radiation field. Used as a directly measurable proxy (i.e. substitute) for equivalent dose in the skin in monitoring of external exposure. The recommended value of d for weakly penetrating radiation is 0.07 mm. personal dose equivalent, Hp(d). The dose equivalent in soft tissue below a specified point on the body at an appropriate depth d. Parameter used as a directly measurable proxy (i.e. substitute) for equivalent dose in tissues or organs or (with d = 10 mm) for effective dose, in individual monitoring of external exposure. The recommended values of d are 10 mm for strongly penetrating radiation and 0.07 mm for weakly penetrating radiation. Hp(0.07) is used for monitoring for hands and feet for all radiation types. Hp(3) is used for monitoring exposure of the lens of the eye. ‘Soft tissue’ is commonly interpreted as the ICRU sphere. Recommended by the International Commission on Radiation Units and Measurements [23, 24] as a simplification of the two separate terms [individual dose equivalent, penetrating, Hp(d)], and [individual dose equivalent, superficial, Hs(d)], defined in Ref. [25].	IAEA-safety-glossary
dose-limit	en	See limit.	IAEA-safety-glossary
dose-per-unit-intake	en	The committed effective dose or the committed equivalent dose resulting from intake, by a specified means (usually ingestion or inhalation), of unit activity of a specified radionuclide in a specified chemical form. Values are specified in GSR Part 3 [1] and recommended by the International Commission on Radiological Protection [22]. For intakes, synonymous with dose coefficient. Unit: Sv/Bq.	IAEA-safety-glossary
dose-quantities	en	absorbed dose, D. The fundamental dosimetric quantity D, defined as: dε D= dm where dε is the mean energy imparted by ionizing radiation to matter in a volume element and dm is the mass of matter in the volume element. The energy can be averaged over any defined volume, the average dose being equal to the total energy imparted in the volume divided by the mass in the volume. Absorbed dose is defined at a point; for the average dose in a tissue or organ, see organ dose. The SI unit for absorbed dose is joule per kilogram (J/kg), termed the gray (Gy) (formerly, the rad was used). relative biological effectiveness (RBE) weighted absorbed dose, ADT . The quantity ADT,R, defined as: AD= T,R DT,R × RBE T,R where DT,R is the absorbed dose delivered by radiation of type R averaged over a tissue or organ T and RBET,R is the relative biological effectiveness for radiation of type R in the production of severe deterministic effects in a tissue or organ T. When the radiation field is composed of different radiation types with different values of RBET,R, the RBE weighted absorbed dose is given by: = ADT ∑D T,R × RBE T,R The unit of RBE weighted absorbed dose is the gray (Gy), equal to 1 J/kg. RBE weighted absorbed dose is a measure of the dose to a tissue or organ, intended to reflect the risk of development of severe deterministic effects. Values of RBE weighted absorbed dose to a specified tissue or organ from any type(s) of radiation can be compared directly. committed effective dose, E(τ).The quantity E(τ), defined as: E(τ ) = ∑ w ⋅ H (τ ) T T where HT(τ) is the committed equivalent dose to tissue or organ T over the integration time τ elapsed after an intake of radioactive substances and wT is the tissue weighting factor for tissue or organ T. Where τ is not specified, it will be taken to be 50 years for adults and the time to the age of 70 years for intakes by children. That is, for intakes by children, 70 years minus the age in years: so, for example, 60 years for a 10 year old child. committed equivalent dose, HT(τ). The quantity HT(τ), defined as: t 0 +τ H T (τ ) = ∫ t0 H T (t ) dt where t0 is the time of intake, H T (t ) is the equivalent dose rate at time t in tissue or organ T and τ is the integration time elapsed after an intake of radioactive substances. Where τ is not specified, it is taken to be 50 years for adults and the time to the age of 70 years for intakes by children. That is, for intakes by children, 70 years minus the age in years: so for example 60 years for a 10 year old child. effective dose, E. The quantity E, defined as a summation of the tissue or organ equivalent doses, each multiplied by the appropriate tissue weighting factor: =E ∑w ⋅ H T T where HT is the equivalent dose in tissue or organ T and wT is the tissue weighting factor for tissue or organ T. From the definition of equivalent dose, it follows that: E= ∑w ⋅ ∑w ⋅ D R T,R where wR is the radiation weighting factor for radiation type R and DT,R is the average absorbed dose in the tissue or organ T delivered by radiation type R. The SI unit for effective dose is joule per kilogram (J/kg), termed the sievert (Sv). An explanation of the quantity is given in annex B to Ref. [26]. The rem, equal to 0.01 Sv, is sometimes used as a unit of equivalent dose and effective dose. This should not be used in IAEA publications, except when quoting directly from other publications, in which case the value in sieverts should be added in parentheses. Effective dose is a measure of dose designed to reflect the amount of radiation detriment likely to result from the dose. Effective dose cannot be used to quantify higher doses or to make decisions on the need for any medical treatment relating to deterministic effects. Values of effective dose from exposure for any type(s) of radiation and any mode(s) of exposure can be compared directly. equivalent dose, HT. The quantity HT,R, defined as: = w R ⋅ DT,R H T,R where DT,R is the absorbed dose delivered by radiation type R averaged over a tissue or organ T and wR is the radiation weighting factor for radiation type R. When the radiation field is composed of different radiation types with different values of wR, the equivalent dose is: = HT ∑w ⋅ D R T,R The SI unit for equivalent dose is joule per kilogram (J/kg), termed the sievert (Sv). An explanation of the quantity is given in annex B to Ref. [26]. The rem, equal to 0.01 Sv, is sometimes used as a unit of equivalent dose and effective dose. This should not be used in IAEA publications, except when quoting directly from other publications, in which case the value in sieverts should be added in parentheses. Equivalent dose is a measure of the dose to a tissue or organ designed to reflect the amount of harm caused. Equivalent dose cannot be used to quantify higher doses or to make decisions on the need for any medical treatment relating to deterministic effects. Values of equivalent dose to a specified tissue or organ from any type(s) of radiation can be compared directly. organ dose. The mean absorbed dose DT in a specified tissue or organ T of the human body, given by: 1 εT = DT mT ∫ D= mT ⋅ dm m T where mT is the mass of the tissue or organ, D is the absorbed dose in the mass element dm and ε T is the total energy imparted. Sometimes called tissue dose.	IAEA-safety-glossary
dose-rate	en	1. The dose per unit time. ! Although dose rate could, in principle, be defined over any unit of time (e.g. an annual dose is technically a dose rate), in IAEA publications the term dose rate should be used only in the context of short periods of time, for example dose per second or dose per hour. 2. The ambient dose equivalent or the directional dose equivalent, as appropriate, per unit time, measured at the point of interest. (See SSR-6 (Rev. 1) [2].) ! This usage is specific to the Transport Regulations [2]. [dose rate effectiveness factor (DREF)] The ratio between the risk per unit effective dose for high dose rates and that for low dose rates.	IAEA-safety-glossary
double-contingency-principle	en	See single failure criterion.	IAEA-safety-glossary
drawdown	en	A falling of the water level at a coastal site.	IAEA-safety-glossary
driven-equipment	en	A component such as a pump or valve that is operated by a prime mover.	IAEA-safety-glossary
dry-storage	en	See storage.	IAEA-safety-glossary
early-effect	en	See health effects (of radiation).	IAEA-safety-glossary
early-protective-actions	en	See protective action (1).	IAEA-safety-glossary
early-release-of-radioactive-material	en	A release of radioactive material for which off-site protective actions are necessary but are unlikely to be fully effective in due time. See also large release of radioactive material and defence in depth.	IAEA-safety-glossary
early-response-phase	en	See emergency response phase.	IAEA-safety-glossary
earth-s-crust	en	The outermost solid layer of the Earth. The Earth’s crust represents less than 1% of the Earth’s volume and varies in thickness from approximately 6 km beneath the oceans to approximately 60 km beneath mountain chains.	IAEA-safety-glossary
earth-s-mantle	en	A solid layer of the Earth, approximately 2300 km thick, located between the Earth’s crust and the Earth’s core. Basaltic magma forms from the partial melting of mantle rocks.	IAEA-safety-glossary
effective-dose	en	See dose quantities. [effective dose equivalent] See dose equivalent.	IAEA-safety-glossary
effective-half-life	en	See half-life (2).	IAEA-safety-glossary
effusive-eruption	en	See eruption.	IAEA-safety-glossary
elimination-practical	en	See practical elimination.	IAEA-safety-glossary
emergency	en	A non-routine situation or event that necessitates prompt action, primarily to mitigate a hazard or adverse consequences for human life, health, property and the environment. This includes nuclear and radiological emergencies and conventional emergencies such as fires, releases of hazardous chemicals, storms or earthquakes. This includes situations for which prompt action is warranted to mitigate the effects of a perceived hazard. Terms and definitions relating to an emergency are taken from GSR Part 7 [15]. See also emergency class. nuclear or radiological emergency. An emergency in which there is, or is perceived to be, a hazard due to: (a) The energy resulting from a nuclear chain reaction or from the decay of the products of a chain reaction; or (b) Radiation exposure. Points (a) and (b) approximately represent nuclear and radiological emergencies, respectively. However, this is not an exact distinction. Radiation emergency is used in some cases when an explicit distinction in the nature of the hazard is immaterial (e.g. national radiation emergency plan), and it has essentially the same meaning. transnational emergency. A nuclear or radiological emergency of actual, potential or perceived radiological significance for more than one State. This may include: (1) A significant transboundary release of radioactive material (however, a transnational emergency does not necessarily imply a significant transboundary release of radioactive material); (2) A general emergency at a facility or other event that could result in a significant transboundary release (atmospheric or aquatic) of radioactive material; (3) Discovery of the loss or illicit removal of a dangerous source that has been transported across, or is suspected of having been transported across, a national border; (4) An emergency resulting in significant disruption to international trade or travel; (5) An emergency warranting the taking of protective actions for foreign nationals or embassies in the State in which it occurs; (6) An emergency resulting or potentially resulting in severe deterministic effects and involving a fault and/or problem (such as in equipment or software) that could have serious implications for safety internationally; (7) An emergency resulting in or potentially resulting in great concern among the population of more than one State owing to the actual or perceived radiological hazard.	IAEA-safety-glossary
emergency-action-level	en	See level.	IAEA-safety-glossary
emergency-arrangements	en	The integrated set of infrastructural elements, put in place at the preparedness stage, that are necessary to provide the capability for performing a specified function or task required in response to a nuclear or radiological emergency. These elements may include: authorities and responsibilities, organization, coordination, personnel, plans, procedures, facilities, equipment or training.	IAEA-safety-glossary
emergency-class	en	A set of conditions that warrant a similar immediate emergency response. This is the term used for communicating to the response organizations and to the public the level of response needed. The events that belong to a given emergency class are defined by criteria specific to the installation, source or activities, which, if exceeded, indicate classification at the prescribed level. For each emergency class, the initial actions of the response organizations are predefined. IAEA safety standards specify five emergency classes, namely general emergency, site area emergency, facility emergency, alert and other nuclear or radiological emergency [15]: (a) general emergency. At facilities in emergency preparedness category I or II, an emergency that warrants taking precautionary urgent protective actions, urgent protective actions and early protective actions and other response actions on the site and off the site. When a general emergency is declared, appropriate actions are promptly taken, on the basis of the available information relating to the emergency, to mitigate the consequences of the emergency on the site and to protect people on the site and off the site. (b) site area emergency. At facilities in emergency preparedness category I or II, an emergency that warrants taking protective actions and other response actions on the site and in the vicinity of the site. When a site area emergency is declared, actions are promptly taken: (i) to mitigate the consequences of the emergency on the site and to protect people on the site; (ii) to increase the readiness to take protective actions and other response actions off the site if this becomes necessary on the basis of observable conditions, reliable assessments and/or results of monitoring; and (iii) to conduct off-site monitoring, sampling and analysis. (c) facility emergency. At facilities in emergency preparedness category I, II or III, an emergency that warrants taking protective actions and other response actions at the facility and on the site but does not warrant taking protective actions off the site. When a facility emergency is declared, actions are promptly taken to mitigate the consequences of the emergency and to protect people. (d) alert. At facilities in emergency preparedness category I, II or III, an event that warrants taking actions to assess and to mitigate the potential consequences at the facility. When an alert is declared, actions are promptly taken to assess and to mitigate the potential consequences of the event and to increase the readiness of the on-site response organizations. (e) other nuclear or radiological emergency. An emergency in emergency preparedness category IV that warrants taking protective actions and other response actions at any location. When such an emergency is declared, actions are promptly taken to mitigate the consequences of the emergency on the site; to protect those in the vicinity (e.g. workers and emergency workers and the public) and to determine where and for whom protective actions and other response actions are warranted; to assess and to mitigate the potential consequences of the event; and to increase the readiness of the on-site response organizations.	IAEA-safety-glossary
emergency-classification	en	The process whereby an authorized official classifies an emergency in order to declare the applicable emergency class. Upon declaration of the emergency class, the response organizations initiate the predefined emergency response actions for that emergency class.	IAEA-safety-glossary
emergency-exposure	en	See exposure situations: emergency exposure situation.	IAEA-safety-glossary
emergency-exposure-situation	en	See exposure situations.	IAEA-safety-glossary
emergency-phase	en	See emergency response phase.	IAEA-safety-glossary
emergency-plan	en	A description of the objectives, policy and concept of operations for the response to an emergency and of the structure, authorities and responsibilities for a systematic, coordinated and effective response. The emergency plan serves as the basis for the development of other plans, procedures and checklists. Emergency plans are prepared at several different levels: international, national, regional, local and facility. They may include all activities planned to be carried out by all relevant organizations and authorities, or may be primarily concerned with the actions to be carried out by a particular organization. Details regarding the accomplishment of specific tasks outlined in an emergency plan are contained in emergency procedures. concept of operations. A brief description of an ideal response to a postulated nuclear or radiological emergency, used to ensure that all those personnel and organizations involved in the development of a capability for emergency response share a common understanding.	IAEA-safety-glossary
emergency-planning-distance	en	The extended planning distance and the ingestion and commodities planning distance. extended planning distance (EPD). The area around a facility within which emergency arrangements are made to conduct monitoring following the declaration of a general emergency and to identify areas warranting emergency response actions to be taken off the site within a period following a significant radioactive release that would allow the risk of stochastic effects among members of the public to be effectively reduced. The area within the extended planning distance serves for planning purposes and may not be the actual area in which monitoring is to be conducted to identify areas where early protective actions such as relocation are necessary. While efforts need to be made at the preparedness stage to prepare for taking effective early protective actions within this area, the actual area will be determined by the prevailing conditions in an emergency. As a precaution, some urgent actions may be warranted within the extended planning distance to reduce the risk of stochastic effects among members of the public. ingestion and commodities planning distance (ICPD). The area around a facility for which emergency arrangements are made to take effective emergency response actions following the declaration of a general emergency in order to reduce the risk of stochastic effects among members of the public and to mitigate non-radiological consequences as a result of the distribution, sale and consumption of food, milk and drinking water and the use of commodities other than food that may have contamination from a significant radioactive release. The area within the ingestion and commodities planning distance serves for planning purposes to prepare for emergency response actions to monitor and control commodities, including food, either for domestic use or international trade. The actual area will be determined on the basis of the prevailing conditions in an emergency. As a precaution, some urgent protective actions may be warranted within the ingestion and commodities planning distance to prevent the ingestion of food, milk or drinking water and to prevent the use of commodities that may have contamination following a significant radioactive release.	IAEA-safety-glossary
emergency-planning-zone	en	The precautionary action zone and the urgent protective action planning zone. precautionary action zone (PAZ). An area around a facility for which emergency arrangements have been made to take urgent protective actions in the event of a nuclear or radiological emergency to avoid or to minimize severe deterministic effects off the site. Protective actions within this area are to be taken before or shortly after a release of radioactive material or an exposure, on the basis of prevailing conditions at the facility. urgent protective action planning zone (UPZ). An area around a facility for which arrangements have been made to take urgent protective actions in the event of a nuclear or radiological emergency to avert doses off the site in accordance with international safety standards. Protective actions within this area are to be taken on the basis of environmental monitoring — or, as appropriate, prevailing conditions at the facility.	IAEA-safety-glossary
emergency-preparedness	en	The capability to take actions that will effectively mitigate the consequences of an emergency for human life, health, property and the environment. emergency preparedness category. A category for hazards assessed by means of a hazard assessment to provide the basis for a graded approach to the application of the requirements established in GSR Part 7 [15] and for developing generically justified and optimized arrangements for preparedness and response for a nuclear or radiological emergency. Table 1 of GSR Part 7 [15] describes the emergency preparedness categories. preparedness stage. The stage or phase at which arrangements for an effective emergency response are established prior to a nuclear or radiological emergency.	IAEA-safety-glossary
emergency-preparedness-category	en	See emergency preparedness.	IAEA-safety-glossary
emergency-procedures	en	A set of instructions describing in detail the actions to be taken by emergency workers in an emergency.	IAEA-safety-glossary
emergency-response	en	The performance of actions to mitigate the consequences of an emergency for human life, health, property and the environment. The emergency response also provides a basis for the resumption of normal social and economic activity. emergency response action. An action to be taken in response to a nuclear or radiological emergency to mitigate the consequences of an emergency for human life, health, property and the environment. Emergency response actions comprise protective actions and other response actions. Also called emergency action. other response action. An emergency response action other than a protective action. The most common other response actions are: medical examination, consultation and treatment; registration and long term medical follow-up; provision of psychological counselling; and public information and other actions for mitigating non-radiological consequences and for public reassurance.	IAEA-safety-glossary
emergency-response-action	en	See emergency response.	IAEA-safety-glossary
emergency-response-commander	en	The individual responsible for directing the response of all organizations responding to an emergency (including the response to radiological hazards, the response to conventional hazards and law enforcement). Also referred to as incident commander.	IAEA-safety-glossary
emergency-response-facility-or-location	en	A facility or location necessary for supporting an emergency response, for which specific functions are to be assigned at the preparedness stage, and which need to be usable under emergency conditions. There are two different types of emergency response facility or location: those established in advance (e.g. a technical support centre for a nuclear power plant) and those designated at the time of an emergency (e.g. a medical screening and triage area). For both types, advance preparations are necessary to ensure their operability under emergency conditions. Depending on the emergency preparedness category and on the nature of an emergency, an emergency response facility may be designated an emergency response location. For a nuclear power plant and other facilities in emergency preparedness category 1, emergency response facilities (which are separate from the control room and the supplementary control room) include: the technical support centre, from which technical support can be provided to the operating personnel in the control room in an emergency; the operational support centre, from which operational control can be maintained by personnel performing tasks at or near the facility; and the emergency centre, from which the on-site emergency response is managed.	IAEA-safety-glossary
emergency-response-phase	en	The period of time from the detection of conditions warranting an emergency response until the completion of all the emergency response actions	IAEA-safety-glossary
emergency-services	en	The local off-site response organizations that are generally available and that perform emergency response functions. These may include police, firefighters and rescue brigades, ambulance services, and control teams for hazardous materials.	IAEA-safety-glossary
emergency-worker	en	A person having specified duties as a worker in response to an emergency. Emergency workers may include workers employed, both directly and indirectly, by registrants and licensees, as well as personnel of response organizations, such as police officers, firefighters, medical personnel, and drivers and crews of vehicles used for evacuation. Emergency workers may or may not be designated as such in advance of an emergency. Emergency workers not designated as such in advance of an emergency are not necessarily workers prior to the emergency.	IAEA-safety-glossary
employer	en	A person or organization with recognized responsibilities, commitments and duties towards a worker in the employment of the person or organization by virtue of a mutually agreed relationship. ! A self-employed person is regarded as being both an employer and a worker.	IAEA-safety-glossary
end-point	en	1. The final stage of a process, especially the point at which an effect is observed. Used, somewhat loosely, to describe a range of different results or consequences. For example, the term ‘biological end point’ is used to describe a health effect (or a probability of that health effect) that could result from exposure. 2. A radiological or other measure of protection or safety that is the calculated result of an analysis or assessment. Common end points include estimates of dose or risk, estimated frequency or probability of an event or type of event (such as damage to the reactor core), expected number of health effects in a population, predicted environmental concentrations of radionuclides, etc. 3. A predetermined criterion defining the point at which a specific task or process will be considered completed. This usage often occurs in contexts such as decontamination or remediation, where the end point is typically the level of contamination beyond which further decontamination or remediation is considered unnecessary. In such a context, this criterion may also be an end point in the sense of definition (2) — such criteria are often calculated on the basis of a level of dose or risk that is considered acceptable — but its application to the actual decontamination or remediation operations is in the sense of definition (3).	IAEA-safety-glossary
end-state	en	1. The state of radioactive waste in the final stage of radioactive waste management, in which the waste is passively safe and does not depend on institutional control. In the context of radioactive waste management, the end state refers to disposal. 2. A predetermined criterion defining the point at which a specific task or process is to be considered completed. Used in relation to decommissioning activities as the final state of decommissioning of a facility; and used in relation to remediation as the final status of a site at the end of activities for decommissioning and/or remediation, including approval of the radiological and physical conditions of the site and remaining structures.	IAEA-safety-glossary
energy-fluence	en	See fluence.	IAEA-safety-glossary
enforcement	en	The application by a regulatory body of sanctions against an operator, intended to correct and, as appropriate, penalize non-compliance with conditions of an authorization.	IAEA-safety-glossary
enriched-uranium	en	See uranium.	IAEA-safety-glossary
entombment	en	See decommissioning (1).	IAEA-safety-glossary
